,FBH400-40,FBH510-10,FBH630-10,FBH700-40,FBH770-10,FESH0500,FESH0750,FESH0750_NF633-25,350nm,550nm,750nm,950nm
412.0,0.3521220732014577,6.45823716759412e-07,3.417725671696794e-07,1.5477826179890215e-06,4.4393162427757047e-07,0.3625434700971793,0.36051218586355505,4.073787700258173e-06,0.0,0.0,0.0,0.0
413.0,0.35459678844366427,6.545320405562817e-07,3.710057277666003e-07,1.5596012685473129e-06,5.23755494730508e-07,0.3644778641360802,0.36236683700363986,7.754650311877892e-06,0.0,0.0,0.0,0.0
414.0,0.3544883411879725,6.517457576425137e-07,4.202498416715291e-07,1.5440986001026064e-06,4.967242229607188e-07,0.366671759980768,0.3636512043689322,1.5127890101747577e-05,0.0,0.0,0.0,0.0
415.0,0.34859805830206725,6.567836667162884e-07,3.8853604519512755e-07,1.5672799299563438e-06,6.287109325509601e-07,0.3692720215638705,0.3660473885370486,9.883279490500313e-06,0.0,0.0,0.0,0.0
416.0,0.33758571021645906,6.578907438018412e-07,4.10895513386204e-07,1.5020886237838264e-06,6.921393628325153e-07,0.3726961632547208,0.3698803725237745,1.8272090402674462e-05,0.0,0.0,0.0,0.0
417.0,0.29443162750450347,6.707231488891104e-07,4.2577096171899023e-07,1.5519661703624876e-06,6.381016419406469e-07,0.377362456215108,0.3739237980090026,8.41328545520256e-06,0.0,0.0,0.0,0.0
418.0,0.19358887824242912,6.756312159893801e-07,6.001291771329115e-07,1.5554515081064577e-06,5.753152066400435e-07,0.3818851030925096,0.37760128368857865,2.5299286007134767e-06,0.0,0.0,0.0,0.0
419.0,0.08034338167993645,7.085769839350177e-07,5.762359096512517e-07,1.4196901072246189e-06,5.19834205578875e-07,0.3856196248814307,0.38125899157171445,7.282046739019746e-06,0.0,0.0,0.0,0.0
420.0,0.016732610591907806,7.271272937564824e-07,5.572600037579836e-07,1.2220560054336604e-06,4.9611394255911e-07,0.38989792837308523,0.385662837681148,1.9900202424347242e-05,0.0,0.0,0.0,0.0
421.0,0.0013720046043046831,7.308457400728425e-07,4.6111269132765945e-07,1.0961647514011206e-06,4.97227559801635e-07,0.3944650963010734,0.39046425114597816,1.2260577485983713e-05,0.0,0.0,0.0,0.0
